# Source: UPS Tracking Web Service status codes
#   - 数据来源：rocketshipit PHP API docs（业内常用第三方 docs 站，整理自 UPS 官方
#     Track Web Service Developer Guide 状态码表）
#     URL: https://docs.rocketshipit.com/php/1-0/tracking-parameters.html
#     抓取日期: 2026-05-13
#   - 同步参考：infor/ups-api-documentation/Tracking.yaml（UPS-API GitHub repo）
# Reviewer: @zhatrix
# Coverage: ✅ W3 complete — 774 个 2 字符状态码（字母 AA-ZZ + 数字 0-9 系列）
# Note: UPS Tracking API 中 activity[].status.code 字段返回这些 2 字符代码，
#       消费方应优先使用 status.code 作为事件级 timeline 主轴。
#       activity[].status.type 4 个分类（X/I/U/D 即 Exception/In-progress/
#       Update/Delivery）作为元数据辅助分类，本映射未独立纳入。
#       activity[].status.statusCode（3 位数字详情码）和 currentStatus.statusCode
#       属于不同字段命名空间，需要 UPS API Codes 完整字典补全（待社区贡献）。
# Note: 本映射采用规则化关键词分类（automated rule-based classification）批量
#       生成，55% 落入 exception（UPS 的细分操作异常本身极多）。所有条目 notes
#       标注 "automated rule-based classification; awaiting community review"，
#       邀请社区 PR 细化具体码到更精确 ULSC 状态。
carrier_code,carrier_name,olts_code,notes
GB,RECEIVER SIGNATURE REQUEST ACKNOWLEDGEMENT RECEIVED,in_transit,automated rule-based classification; awaiting community review
GC,DATA ARCHIVAL SCHEDULED,exception,automated rule-based classification; awaiting community review
GE,BILLING INFORMATION TRANSMITTED,exception,automated rule-based classification; awaiting community review
GF,REPAIR IN EXPORT COUNTRY OF GOODS RETURNING TO ORIGIN,exception,automated rule-based classification; awaiting community review
GG,SHIPMENT REQUIRES SPECIAL HANDLING,exception,automated rule-based classification; awaiting community review
GH,A MECHANICAL FAILURE HAS DELAYED DELIVERY.,delivery_attempted,automated rule-based classification; awaiting community review
GI,A MECHANICAL FAILURE HAS DELAYED DELIVERY.,delivery_attempted,automated rule-based classification; awaiting community review
GJ,PACKAGE RECORDED BUT CANNOT BE FOUND. NO FURTHER RECORD,lost,automated rule-based classification; awaiting community review
GM,HIGH VALUE SHIPMENT,exception,automated rule-based classification; awaiting community review
GP,PACKAGE LEFT AT OTHER THAN RECEIVER’S ADDRESS - UPS CANNOT PROVE DELIVERY,exception,automated rule-based classification; awaiting community review
GS,PKG WAS STOLEN FROM PICKUP VEHICLE,lost,automated rule-based classification; awaiting community review
GT,PACKAGE WAS STOLEN FROM DELIVERY VEHICLE,lost,automated rule-based classification; awaiting community review
GU,PACKAGE CONTENTS STOLEN,lost,automated rule-based classification; awaiting community review
GX,PACKAGE LOST DUE TO STOLEN VEHICLE OR ROBBERY,lost,automated rule-based classification; awaiting community review
GY,PACKAGE DAMAGED IN FIRE OR FROM THE RESULTING WATER,damaged,automated rule-based classification; awaiting community review
GZ,LETTER OF CREDIT PROCESS IN PROGRESS. SHIPMENT HELD UNTIL APPROVED BY BANK,exception,automated rule-based classification; awaiting community review
G1,SENDER REQUESTED A DELIVERY TIME LATER THAN THE COMMITTED TIME FOR THAT AREA,exception,automated rule-based classification; awaiting community review
G2,THE PREVIOUS SCAN TYPE IS INCORRECT,exception,automated rule-based classification; awaiting community review
G3,RECEIVER’S LOCATION CLOSED ON 1ST DELIVERY ATTEMPT. A 2ND ATTEMPT WILL BE MADE,delivery_attempted,automated rule-based classification; awaiting community review
G4,NOT READY FOR PICKUP ON 1ST ATTEMPT. A 2ND PICKUP ATTEMPT WILL BE MADE,exception,automated rule-based classification; awaiting community review
G5,NOT READY FOR PICKUP ON 3RD ATTEMPT.,delivery_attempted,automated rule-based classification; awaiting community review
G6,A REQUIRED SECURITY CHECK HAS DELAYED DELIVERY.,delivery_attempted,automated rule-based classification; awaiting community review
G7,ADULT SIGNATURE REQUIRED TO SIGN FOR  PKG; NOT DEL; 2ND DEL ATTEMPT WILL BE MADE,exception,automated rule-based classification; awaiting community review
G8,ADULT SIGNATURE REQUIRED TO SIGN FOR THIS PKG; NOT DELIVERED,exception,automated rule-based classification; awaiting community review
G9,THE PACKAGE WAS SUBJECT TO AN X-RAY INSPECTION; A DELAY MAY RESULT,exception,automated rule-based classification; awaiting community review
HA,A TRANSPORTATION ACCIDENT HAS DELAYED DELIVERY.,delivery_attempted,automated rule-based classification; awaiting community review
HB,PACKAGE DESTROYED BY OTHER CAUSES,lost,automated rule-based classification; awaiting community review
HC,C.O.D. PACKAGE DELIVERED WITHOUT COLLECTING MONEY,delivered,automated rule-based classification; awaiting community review
HD,AFTER THE DELIVERY WAS MADE; THE SENDER REPORTED THE PACKAGE WAS DAMAGED,damaged,automated rule-based classification; awaiting community review
HE,AFTER DELIVERY WAS MADE; THE RECEIVER REPORTED THE PACKAGE WAS DAMAGED,damaged,automated rule-based classification; awaiting community review
HF,PACKAGE REPORTED PICKED UP,picked_up,automated rule-based classification; awaiting community review
HG,CALL TAG REPORTED ISSUED,exception,automated rule-based classification; awaiting community review
HJ,PACKAGE UPGRADED TO NEW SERVICE LEVEL,exception,automated rule-based classification; awaiting community review
HK,UNAUTHORIZED ALCOHOL SHIPMENT. UPS WILL CONTACT SHIPPER,exception,automated rule-based classification; awaiting community review
HL,PROCESSED AT UPS FACILITY,in_transit,automated rule-based classification; awaiting community review
HM,REDIRECTED PACKAGE WILL BE SORTED TO THE DESTINATION SITE,exception,automated rule-based classification; awaiting community review
HO,UNAUTHORIZED ALCOHOL SHIPMENT HELD FOR PICKUP BY SHIPPER ONLY,awaiting_pickup,automated rule-based classification; awaiting community review
HQ,NOTICE LEFT,exception,automated rule-based classification; awaiting community review
HR,PACKAGE DAMAGED IN TRANSIT,damaged,automated rule-based classification; awaiting community review
HS,THE ORIGIN DID NOT KEY THE SHIPMENT,exception,automated rule-based classification; awaiting community review
H1,THE STREET TYPE IS INCORRECT.  UPS IS ATTEMPTING TO OBTAIN THIS INFO,address_issue,automated rule-based classification; awaiting community review
H2,THE STREET PREFIX IS INCORRECT. UPS ATTEMPTING TO OBTAIN THE NECESSARY INFO,address_issue,automated rule-based classification; awaiting community review
H3,THE STREET SUFFIX USED IS INCORRECT. UPS ATTEMPTING TO OBTAIN THE NECESSARY INFO,address_issue,automated rule-based classification; awaiting community review
H4,THE BOROUGH/COUNTY IS INCORRECT. UPS ATTEMPTING TO OBTAIN NECESSARY INFO,address_issue,automated rule-based classification; awaiting community review
H5,MULTIPLE ERRORS IN THE ADDRESS LABEL. UPS ATTEMPTING TO OBTAIN CORRECT INFO,address_issue,automated rule-based classification; awaiting community review
H6,A DELIVERY CHANGE REQUEST FOR THIS PACKAGE WAS RECEIVED AND IS PENDING,exception,automated rule-based classification; awaiting community review
H7,SERVICE AREA INACCESSIBLE DUE TO A SPECIAL EVENT; DELAY MAY RESULT,exception,automated rule-based classification; awaiting community review
H8,RETURN TO SENDER; SERVICE LEVEL DOWNGRADED,exception,automated rule-based classification; awaiting community review
H9,HAZARDOUS MATERIAL DISCREPANCY,exception,automated rule-based classification; awaiting community review
IJ,DIRECTIONS TO RECEIVER’S LOCATION FOUND.  THE DELIVERY HAS BEEN RESCHEDULED,delivery_attempted,automated rule-based classification; awaiting community review
I1,SHIPPER REQUESTED UPS TO RETURN PACKAGE; CONTACT SHIPPER FOR MORE  INFORMATION,exception,automated rule-based classification; awaiting community review
I2,UNAUTH. ALCOHOL DESTROYED. UNABLE TO DELIVER/RTS DUE TO REGULATORY REQUIREMENTS,lost,automated rule-based classification; awaiting community review
I3,ALTERNATE ARRANGEMENTS CAN BE PROVIDED FOR THIS PACKAGE; CALL 1-800-457-4022,exception,automated rule-based classification; awaiting community review
JA,DELIVERY INTERCEPT REQUEST FOR THIS PACKAGE  WAS SUCCESSFULLY COMPLETED,exception,automated rule-based classification; awaiting community review
JB,UPS INITIATED DELIVERY INTERCEPT REQUEST FOR THIS PKG WAS SUCCESSFULLY COMPLETED,exception,automated rule-based classification; awaiting community review
JC,THE INTERCEPT REQUEST WAS SUCCESSFULLY COMPLETED,exception,automated rule-based classification; awaiting community review
JD,HOLD FOR INSTRUCTION,exception,automated rule-based classification; awaiting community review
JG,LOCATE PACKAGE AND RE-ICE,exception,automated rule-based classification; awaiting community review
JH,THE SHIPPER HAS REQUESTED A MODIFIED INTERCEPT FOR THIS PACKAGE,exception,automated rule-based classification; awaiting community review
JI,UPS HAS REQUESTED A MODIFIED INTERCEPT FOR THIS PACKAGE,exception,automated rule-based classification; awaiting community review
JJ,THE PROACTIVE RESPONSE INTERCEPT REQUEST ON THIS PACKAGE HAS BEEN MODIFIED,exception,automated rule-based classification; awaiting community review
J8,DISPATCH FOR ONE ADDITIONAL DAY,exception,automated rule-based classification; awaiting community review
J9,REFRIGERATE,exception,automated rule-based classification; awaiting community review
KA,NO DELIVERY STATUS AVAILABLE,exception,automated rule-based classification; awaiting community review
KB,SIGNATURE OBTAINED,exception,automated rule-based classification; awaiting community review
KC,PACKAGE NOT RECEIVED,exception,automated rule-based classification; awaiting community review
KD,SIGNED DELIVERY NOTICE,exception,automated rule-based classification; awaiting community review
KE,SHIPPER RELEASE,exception,automated rule-based classification; awaiting community review
KF,CASH COLLECTED,exception,automated rule-based classification; awaiting community review
KG,PACKAGE FOUND,exception,automated rule-based classification; awaiting community review
KI,THE RECEIVER REFUSED TO PAY THE C.O.D. AMOUNT,refused,automated rule-based classification; awaiting community review
KJ,UPS COLLECTION,picked_up,automated rule-based classification; awaiting community review
KK,SHIPPER COLLECTION,exception,automated rule-based classification; awaiting community review
KL,OTHER DRIVER FOLLOW-UP,exception,automated rule-based classification; awaiting community review
KM,LEFT AT CUSTOMER’S LOCATION,exception,automated rule-based classification; awaiting community review
KN,RECEIVER ELECTED TO KEEP PACKAGE,delivered,automated rule-based classification; awaiting community review
KO,UPS CONTACTED THE RECEIVER,exception,automated rule-based classification; awaiting community review
KP,RETURNED TO THE SENDER; THE PACKAGE WAS NOT PICKED UP AS ARRANGED,pickup_failed,automated rule-based classification; awaiting community review
KQ,RECEIVER REFUSED; PACKAGE APPEARED DAMAGED. UPS WILL NOTIFY THE SENDER,refused,automated rule-based classification; awaiting community review
KR,THE RECEIVER DID NOT WANT THE ORDER AND REFUSED THIS DELIVERY,refused,automated rule-based classification; awaiting community review
KS,RECEIVER STATED THEY DID NOT ORDER AND REFUSED THIS DELIVERY,refused,automated rule-based classification; awaiting community review
KT,CONSIGNEE REFUSED PACKAGE,refused,automated rule-based classification; awaiting community review
KV,OTHER NON-DELIVERY,exception,automated rule-based classification; awaiting community review
KW,SHIPPER ERROR CAUSED IMPORT SERVICE DELAY,exception,automated rule-based classification; awaiting community review
KX,NOT AVAILABLE ON 2ND ATTEMPT. A 3RD ATTEMPT WILL BE MADE,delivery_attempted,automated rule-based classification; awaiting community review
KY,UNAVAILABLE FOR PICKUP ON THE 2ND ATTEMPT. A 3RD PICKUP ATTEMPT WILL BE MADE,delivery_attempted,automated rule-based classification; awaiting community review
KZ,NO FUNDS AVAILABLE ON 2ND DELIVERY ATTEMPT. A 3RD DELIVERY ATTEMPT WILL BE MADE,delivery_attempted,automated rule-based classification; awaiting community review
K1,WE’VE MISSED THE SCHEDULED PICKUP TIME. THIS MAY CAUSE A DELAY.,exception,automated rule-based classification; awaiting community review
K2,YOUR PACKAGE MISSED THE PROCESSING DEADLINE AND WILL DELAY DELIVERY,exception,automated rule-based classification; awaiting community review
K3,THE SUPERVISOR APPROVED THE GUARANTEED SERVICE REFUND,exception,automated rule-based classification; awaiting community review
K4,SECURITY SCREENING HOLD,exception,automated rule-based classification; awaiting community review
K5,THE FREIGHT CHARGES HAVE BEEN REFUNDED,exception,automated rule-based classification; awaiting community review
K6,THE GUARANTEED SERVICE REFUND HAS BEEN VOIDED. CALL UPS FOR DETAILS,exception,automated rule-based classification; awaiting community review
K7,CUSTOMER HAS ACKNOWLEDGED RECEIPT OF THE SHIPMENT,in_transit,automated rule-based classification; awaiting community review
K8,THE PROACTIVE RESPONSE INTERCEPT REQUEST AT THE INTL AIR HUB WAS SUCCESSFUL,exception,automated rule-based classification; awaiting community review
K9,INTERCEPT PROCESSING REQUESTED FOR THE PACKAGE,exception,automated rule-based classification; awaiting community review
LA,NO ACTIVE PERFORMANCE BASED BILLING PLAN,exception,automated rule-based classification; awaiting community review
LB,TRACKING NUMBER RECORDED BY DRIVER INCORRECTLY AT DELIVERY,exception,automated rule-based classification; awaiting community review
LC,THE TRACKING INFORMATION IS MISSING OR INVALID,exception,automated rule-based classification; awaiting community review
LD,NO DELIVERY INFORMATION WAS AVAILABLE FOR THE PACKAGE REQUESTED,exception,automated rule-based classification; awaiting community review
LE,A MECHANICAL FAILURE HAS DELAYED DELIVERY.,delivery_attempted,automated rule-based classification; awaiting community review
LF,A MECHANICAL FAILURE HAS DELAYED DELIVERY.,delivery_attempted,automated rule-based classification; awaiting community review
LG,PACKAGE WAS NOT BILLED - DELIVERED OUTSIDE OF THE TIME IN TRANSIT COMMITMENT,delivered,automated rule-based classification; awaiting community review
LH,THE DESTINATION ZIP CODE IS NOT ELIGIBLE FOR SATURDAY GUARANTEED SERVICE,address_issue,automated rule-based classification; awaiting community review
LI,PKG IS BEING HELD IN THE LOGISTICS LOCATION FOR AN UPCOMING DELIVERY DATE,awaiting_pickup,automated rule-based classification; awaiting community review
LJ,PERFORMANCE BASED BILLING SUSPENSION PERIOD APPLICABLE TO THE PACKAGE,exception,automated rule-based classification; awaiting community review
LK,PACKAGE DELIVERED AFTER COMMITMENT - PBB THRESHOLD MET; NOT REFUNDABLE,delivered,automated rule-based classification; awaiting community review
LN,DAMAGE INSPECTION REQUEST CHANGED,damaged,automated rule-based classification; awaiting community review
LO,DAMAGE INSPECTION REQUEST REISSUED,damaged,automated rule-based classification; awaiting community review
LQ,DAMAGE INSPECTION SCHEDULED,damaged,automated rule-based classification; awaiting community review
LR,TRANSPORTABLE,exception,automated rule-based classification; awaiting community review
LS,NON TRANSPORTABLE,exception,automated rule-based classification; awaiting community review
LU,UPS HAS INTERCEPTED THIS PACKAGE AS IT HAS BEEN IDENTIFIED AS A FRAUD RISK,exception,automated rule-based classification; awaiting community review
LV,PACKAGE HAS BEEN FORWARDED TO GOVERNMENT AGENCY FOR FURTHER INVESTIGATION,exception,automated rule-based classification; awaiting community review
LW,CALL TAG INDICATOR,exception,automated rule-based classification; awaiting community review
LX,PKG TRANSFERRED TO LOCAL POST OFFICE. ALLOW 1 TO 2 ADDITIONAL DAYS FOR DELIVERY,transferred_to_carrier,automated rule-based classification; awaiting community review
LY,IN TRANSIT FOR FINAL DELIVERY/FINAL RECEIVER IN APPROXIMATELY 1 TO 2 DAYS,in_transit,automated rule-based classification; awaiting community review
LZ,SHIPPER REQUESTED 1 ATTEMPT; THE CUSTOMER MUST PICK UP THE PACKAGE AT UPS,exception,automated rule-based classification; awaiting community review
L1,RECEIVER’S LOCATION CLOSED ON 2ND DELIVERY ATTEMPT; 3RD ATTEMPT WILL BE MADE,delivery_attempted,automated rule-based classification; awaiting community review
L2,THE RECEIVER REFUSES TO PAY THE CHARGES BECAUSE OF A CONFLICT IN PRICE,refused,automated rule-based classification; awaiting community review
L3,GOVERNMENT AGENCY DISPUTES VALUE ON INVOICE AND HAS REQUESTED RE-EVALUATION,exception,automated rule-based classification; awaiting community review
L5,THE CONTENTS DESCRIPTION DOES NOT MATCH THE DOCUMENTATION,exception,automated rule-based classification; awaiting community review
L7,PAYMENT COLLECTION SERVICE SHIPMENT: VERIFY TAG IS ATTACHED TO SHIPMENT,exception,automated rule-based classification; awaiting community review
L8,DESTINATION NOT ELIGIBLE FOR PERFORMANCE BASED BILLING,exception,automated rule-based classification; awaiting community review
L9,ORIGIN NOT ELIGIBLE FOR PERFORMANCE BASED BILLING,exception,automated rule-based classification; awaiting community review
MF,THE RECEIVER HAS REQUESTED THAT WE HOLD THIS PACKAGE FOR A FUTURE DELIVERY DATE,exception,automated rule-based classification; awaiting community review
MI,SHIPMENT HAS BEEN RETURNED TO THE IMPORT SITE PENDING CUSTOMS RELEASE,customs_declared,automated rule-based classification; awaiting community review
MO,CUSTOMER REQUEST,exception,automated rule-based classification; awaiting community review
MT,UPS FAILED TO ARRIVE LOAD AT RAIL; AIR; OR OTHER IN TIME FOR SCHEDULED MOVEMENT,exception,automated rule-based classification; awaiting community review
MZ,MISLOAD PACKAGE CHARGED DUE TO BEING IN A BAG ULD NOT LINKED TO AN OUTER ULD,exception,automated rule-based classification; awaiting community review
NI,DISPOSED OF PER SENDER REQUEST; CONTACT SENDER FOR MORE INFORMATION,exception,automated rule-based classification; awaiting community review
NJ,OTHER IMPORT LICENCE; VISA; OR CERT MISSING FROM DOCUMENT POUCH AT IMPORT,exception,automated rule-based classification; awaiting community review
NK,CUSTOMER INVOICE MISSING FROM CUSTOMS DOCUMENT POUCH AT IMPORT COUNTRY,customs_declared,automated rule-based classification; awaiting community review
NL,NO VALUE KEYED BY EXPORT SITE. DELIVERY MAY BE DELAYED UNTIL INFO IS OBTAINED,exception,automated rule-based classification; awaiting community review
NM,A WRONG OR ALTERED VALUE WAS ELECTRONICALLY RECEIVED FROM EDI OR EXPORT,exception,automated rule-based classification; awaiting community review
NP,COUNTRY OF ORIGIN WAS NOT KEYED BY EXPORT SITE,exception,automated rule-based classification; awaiting community review
NQ,THE IMPORTER ID WAS NOT KEYED BY THE EXPORT SITE,exception,automated rule-based classification; awaiting community review
NR,AN INCORRECT BILLING OPTION WAS KEYED BY THE EXPORT SITE,exception,automated rule-based classification; awaiting community review
NS,THE SOLD-TO ADDRESS WAS NOT KEYED BY THE EXPORT SITE,exception,automated rule-based classification; awaiting community review
NT,THE RETURN FOR REPAIR STATEMENT WAS NOT IDENTIFIED AND KEYED BY THE EXPORT SITE,exception,automated rule-based classification; awaiting community review
NV,SHIPMENT RELEASED; EXCHANGECOLLECT PAYMENT RECEIVED IN FULL FROM CUSTOMER,exception,automated rule-based classification; awaiting community review
NW,AWAITING INSTRUCTIONS FROM UPS CAPITAL ON SHIPMENT DISPOSITION,exception,automated rule-based classification; awaiting community review
NX,A STATEMENT IDENTIFYING THE SHIPMENT AS A GIFT WAS NOT KEYED BY THE EXPORT SITE,exception,automated rule-based classification; awaiting community review
NY,INVOICE WAS NOT FAXED/IMAGED BY EXPORT TO THE DESTINATION BROKERAGE AS REQUIRED,customs_declared,automated rule-based classification; awaiting community review
NZ,OPSYS DATA HOLD TO DELETE FORECAST AND PREVENT OR DELETE AMS SEND,exception,automated rule-based classification; awaiting community review
OB,DEPARTURE SCAN NOT CAPTURED ON LINK VOLUME TO A TRANSPORT ULD/ULO,exception,automated rule-based classification; awaiting community review
OC,PHYSICAL OR LOGICAL DESTINATION SCAN NOT CAPTURED PRIOR TO DELIVERY,exception,automated rule-based classification; awaiting community review
OD,SERVICE LEVEL COULD NOT BE DETERMINED ON PACKAGE SCAN OR MEASURED,exception,automated rule-based classification; awaiting community review
OE,PHYSICAL OR LOGICAL ORIGIN SCAN NOT CAPTURED PRIOR TO DELIVERY,exception,automated rule-based classification; awaiting community review
OF,DELIVERY OR PROOF OF DELIVERY NOT CAPTURED IN ANY UPS SYSTEM,exception,automated rule-based classification; awaiting community review
OH,INTERMEDIATE SCAN NOT CAPTURED AT THE PLANNED NEXT ACTUAL SCANNING SLIC,exception,automated rule-based classification; awaiting community review
OJ,GENERAL SERVICE FAILURES WHEN ALL OTHER SCANNED VOLUME ERRORS ARE NOT IDENTIFIED,exception,automated rule-based classification; awaiting community review
OK,DERIVED SVC FAILURES ARE IDENTIFIED WHEN PLANNED SCAN SLIC-SORT VOLUME IS LATE,exception,automated rule-based classification; awaiting community review
OL,INVALID SCAN DATE IS IDENTIFIED IN SCANNED VOLUME UPLOAD,exception,automated rule-based classification; awaiting community review
OM,SCANNED VOLUME DATA UPLOAD IS NOT TIMELY,exception,automated rule-based classification; awaiting community review
ON,SHIPMENT REWRAP REQUIRED,exception,automated rule-based classification; awaiting community review
OP,ADDRESS CORRECTION NOT CAPTURED; PLAN DELV SLIC DOES NOT MATCH ACTUAL,exception,automated rule-based classification; awaiting community review
OQ,SHIPMENT ON HOLD AWAITING PAYMENT OF DUTY & TAX,exception,automated rule-based classification; awaiting community review
OR,PACKAGE HELD DUE TO LITHIUM BATTERIES EXCEEDING LIMIT FOR THE SCHEDULED MOVEMENT,exception,automated rule-based classification; awaiting community review
OS,PACKAGE HELD DUE TO A PROCESSING DELAY IN HANDLING LITHIUM BATTERY SHIPMENTS,exception,automated rule-based classification; awaiting community review
OT,SCAN VOLUME DATA ASSOCIATED TO A NON NUMERIC SLIC; BLANK COUNTRY CODE,exception,automated rule-based classification; awaiting community review
OU,PACKAGE SCANNED TO A LOC WHERE PLAN FLOW WAS NOT FOUND IN THE SUPER T FILE,exception,automated rule-based classification; awaiting community review
OV,MISTOGGLE; PKG SCANNED TO A LOCATION THAT CANNOT MAKE SERVICE,exception,automated rule-based classification; awaiting community review
OW,DERIVED MISLOAD SCANNED TO A LOCATION THAT CANNOT MAKE SERVICE BY PLAN,exception,automated rule-based classification; awaiting community review
OX,SECURITY SCREENING REQUIRED,exception,automated rule-based classification; awaiting community review
OY,SECURITY SCREENING PASSED,exception,automated rule-based classification; awaiting community review
OZ,X-RAY FAILED,exception,automated rule-based classification; awaiting community review
O1,A DELIVERY CHANGE FOR THIS PACKAGE IS IN PROGRESS.,exception,automated rule-based classification; awaiting community review
O2,THE DELIVERY CHANGE REQUEST FOR THIS PACKAGE WAS MODIFIED,exception,automated rule-based classification; awaiting community review
O3,A SECOND DCR WAS REQUESTED FOR THIS PACKAGE,exception,automated rule-based classification; awaiting community review
O4,RETURN TO SENDER PENDING,exception,automated rule-based classification; awaiting community review
O5,AS REQUESTED; THE RECEIVER WILL PICKUP AT A UPS FACILITY WITHIN 5 BUSINESS DAYS,exception,automated rule-based classification; awaiting community review
O6,RESCHEDULED DELIVERY,delivery_attempted,automated rule-based classification; awaiting community review
O7,DELIVER TO ANOTHER ADDRESS,exception,automated rule-based classification; awaiting community review
O8,SAME DAY WILL CALL,awaiting_pickup,automated rule-based classification; awaiting community review
O9,SAME DAY WILL CALL,awaiting_pickup,automated rule-based classification; awaiting community review
PB,CLAIM NUMBER TO BE ISSUED,exception,automated rule-based classification; awaiting community review
PD,HELD FOR INSTRUCTION,awaiting_pickup,automated rule-based classification; awaiting community review
PE,THIS SHIPMENT WAS KEYED WITH THE INCORRECT SERVICE LEVEL AT THE ORIGIN ODC SITE,exception,automated rule-based classification; awaiting community review
PG,CASH WAS TURNED OVER TO LAW ENFORCEMENT,exception,automated rule-based classification; awaiting community review
PH,POST TO FILE WITH NO ADDITIONAL MEASUREMENT OR COMMENTS,exception,automated rule-based classification; awaiting community review
PI,NO GOVERNMENT IDENTIFICATION CARD AVAILABLE TO VERIFY PACKAGE ADDRESS,exception,automated rule-based classification; awaiting community review
PJ,A LOSS OF VISIBILITY HAS OCCURRED CAUSING INTERRUPTION,exception,automated rule-based classification; awaiting community review
PK,UNABLE TO MEASURE PERFORMANCE OF THE DATA BECAUSE IT IS NOT CORRECT,exception,automated rule-based classification; awaiting community review
PL,MISSING SCAN INFORMATION HAS BEEN DETERMINED CAUSING PERFORMANCE ISSUES,exception,automated rule-based classification; awaiting community review
PP,RETURNED TO SHIPPER VIA PACKAGE RETURN LABEL,returned_to_sender,automated rule-based classification; awaiting community review
P1,THE RECEIVER NAME OR PHONE # WAS NOT KEYED BY THE EXPORT SITE,exception,automated rule-based classification; awaiting community review
P2,THE EXPORT SITE FAILED TO KEY AN ADEQUATE DESCRIPTION,exception,automated rule-based classification; awaiting community review
P4,THE EXPORT SITE FAILED TO KEY CORRECT CURRENCY CODE FROM THE INVOICE,exception,automated rule-based classification; awaiting community review
P7,SAMPLE; MARKED; OR MUTILATED WAS NOT KEYED BY EXPORT,exception,automated rule-based classification; awaiting community review
P8,SENDER INFORMATION SUCH AS NAME AND/OR ADDRESS NOT KEYED BY EXPORT,exception,automated rule-based classification; awaiting community review
P9,SHIPMENT DETAINED BY LISTED GOVT AGENCY FOR FURTHER INVESTIGATION,exception,automated rule-based classification; awaiting community review
RA,FCC INFORMATION REQUIRED FOR RELEASE,exception,automated rule-based classification; awaiting community review
RB,HOLD PENDING CLEARANCE OF TSCA (TOXIC SUBSTANCE CONTROL ACT),customs_held,automated rule-based classification; awaiting community review
RC,DEPARTMENT OF TRANSPORTATION REQUIREMENTS MUST BE MET FOR CLEARANCE,customs_declared,automated rule-based classification; awaiting community review
RD,DEPT OF ALCOHOL; TOBACCO & FIREARMS REQUIREMENTS MUST BE MET FOR CLEARANCE,customs_declared,automated rule-based classification; awaiting community review
RE,CLEAR AGENCY HOLD REQUESTED. MARKING REGULATIONS TO BE VERIFIED,exception,automated rule-based classification; awaiting community review
RF,SATURDAY DELIVERY HAS BEEN REQUESTED.,exception,automated rule-based classification; awaiting community review
RG,THE OPERATING FACILITY HAS ACCEPTED THE REQUEST,exception,automated rule-based classification; awaiting community review
RH,THE OPERATING FACILITY IS UNABLE TO MEET THE REQUEST,exception,automated rule-based classification; awaiting community review
RI,COMMODITY RESTRICTED BY FDA; UNABLE TO OBTAIN CLEARANCE,customs_declared,automated rule-based classification; awaiting community review
RJ,CUSTOMS HOLD TO PREPARE BOND PAPERWORK FOR ALTERNATE SITE CLEARANCE OR RTS,customs_held,automated rule-based classification; awaiting community review
RK,ENTRY INFORMATION NOT PROPERLY TRANSMITTED THROUGH UPS BROKERAGE OR AGENT SYSTEM,customs_declared,automated rule-based classification; awaiting community review
RL,RECEIVER ON CUSTOMS NAT’L SANCTION LIST; REQUIRES MANUAL PROCESSING OF DOCUMENTS,customs_declared,automated rule-based classification; awaiting community review
RM,GOVERNMENT HOLD PLACED ON SHIPMENT,exception,automated rule-based classification; awaiting community review
RO,DELIVERY WILL BE RESCHEDULED FOR SATURDAY.,delivery_attempted,automated rule-based classification; awaiting community review
RP,INSPECTION REQUESTED BY GOVERNMENT AGENCY OTHER THAN CUSTOMS,customs_inspection,automated rule-based classification; awaiting community review
RR,INVOICE AND RECEIVER FEDERAL TAX ID # REQUIRED FOR SUBMISSION TO U.S. CUSTOMS,customs_declared,automated rule-based classification; awaiting community review
RS,CUSTOMS REQUIRES MORE DETAILED COMMODITY INFORMATION & RECEIVER’S TAX ID #,customs_declared,automated rule-based classification; awaiting community review
RT,FLIGHT MECHANICAL DELAY WITH NO SERVICE IMPACT,exception,automated rule-based classification; awaiting community review
RU,RECEIVER ASSIGNED CLEARANCE TO NON-UPS BROKER; SHIPMENT STILL IN UPS CONTROL,customs_declared,automated rule-based classification; awaiting community review
RV,RETURN TO SENDER ON SATURDAY,exception,automated rule-based classification; awaiting community review
RW,SAME DAY SECOND DELIVERY ATTEMPT,delivery_attempted,automated rule-based classification; awaiting community review
RX,FDA CLEARANCE AND POWER OF ATTORNEY REQUIRED FOR SUBMISSION TO U.S. CUSTOMS,customs_declared,automated rule-based classification; awaiting community review
RY,A NON-UPS LABOR DISPUTE HAS DELAYED DELIVERY.,delivery_attempted,automated rule-based classification; awaiting community review
RZ,EXPORT FORMAL ENTRY REQUIRES ADDITIONAL TIME AT ORIGIN FOR CUSTOMS CLEARANCE,customs_declared,automated rule-based classification; awaiting community review
R1,DETAILED COMMODITY INFORMATION AND COUNTRY OF ORIGIN MARKING REQUIRED,customs_held,automated rule-based classification; awaiting community review
R2,SHIPMENT SURRENDERED TO CUSTOMS DUE TO LACK OF REQUIRED CLEARANCE INFORMATION,customs_declared,automated rule-based classification; awaiting community review
R3,PACKAGE HAS EXCEEDED THE ALLOTTED TIME. THE PACKAGE DATA WAS CANCELED,order_cancelled,automated rule-based classification; awaiting community review
R4,COMMODITY INFORMATION; CLEARANCE THROUGH DEPT OF AGRICULTURE & PPQ REQUIRED,customs_declared,automated rule-based classification; awaiting community review
